Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
489,493,494,446,491
488,493,493,400,491
488,492,492,375,491
484,493,495,374,492
490,491,494,384,490
496,494,495,411,489
497,491,496,469,491
499,490,496,528,490
497,492,494,604,492
491,493,494,635,492
490,492,494,625,492
490,491,492,593,493
490,492,494,499,491
489,491,493,419,490
490,491,493,383,491
489,489,492,374,495
492,493,495,379,492
491,494,495,392,490
491,494,493,437,491
493,491,493,494,490
496,492,492,561,488
494,492,494,624,490
496,491,494,631,492
495,491,494,620,493
496,491,495,556,494
497,493,494,457,492
496,493,494,404,491
495,490,493,373,489
494,493,493,375,490
487,492,493,383,490
483,491,492,408,489
481,493,495,462,491
480,491,495,520,491
484,492,496,595,490
489,492,495,634,489
497,492,494,630,491
503,490,494,602,494
503,494,494,515,496
498,491,494,425,497
495,492,494,390,498
491,492,493,373,495
488,492,493,378,489
491,493,494,387,486
491,491,492,430,488
494,493,494,486,488
494,493,493,550,489
493,493,493,620,490
494,492,493,632,490
491,494,495,623,491
490,491,496,571,491
491,492,494,466,492
492,492,494,408,490
494,492,495,374,491
497,492,492,373,495
497,493,493,384,495
495,492,494,404,495
497,492,494,454,495
486,492,494,513,496
481,492,494,585,494
481,495,495,630,491
481,491,493,630,492
486,492,495,609,489
490,495,494,525,489
499,493,493,434,490
500,492,492,393,491
499,492,492,372,489
499,492,493,376,492
501,492,493,386,493
500,491,493,421,491
497,492,493,478,492
494,493,492,541,491
494,493,495,614,493
493,491,493,634,490
494,493,492,625,492
493,495,492,582,494
490,494,494,479,493
486,493,494,412,491
483,493,494,379,489
483,491,495,369,488
480,493,496,380,489
481,492,496,397,488
483,491,494,445,490
483,492,494,505,491
484,493,492,576,492
493,493,493,629,490
501,492,494,631,490
500,491,493,618,491
506,492,495,537,491
505,493,493,443,491
501,492,494,396,490
498,493,494,373,489
496,493,492,376,492
491,493,492,382,492
485,492,492,415,494
484,493,494,470,495
483,493,493,529,497
482,493,495,606,497
482,496,495,633,499
489,490,493,626,498
488,493,495,587,498
486,492,493,493,494
485,494,494,418,489
485,492,494,384,487
485,491,495,371,491
482,493,494,378,494
484,494,492,394,496
486,493,494,438,496
489,493,493,499,494
494,492,494,564,491
509,490,493,626,488
511,491,495,632,489
511,491,492,620,491
507,491,493,551,488
502,493,495,453,490
495,492,493,402,491
489,493,491,374,491
486,494,495,374,492
486,492,494,383,489
491,495,493,410,489
497,492,494,464,488
500,491,494,519,488
498,492,493,600,490
496,493,494,634,491
484,492,494,625,490
487,494,495,597,490
490,495,495,508,492
493,493,494,421,489
493,493,494,389,491
494,494,493,373,491
493,493,492,378,493
489,494,493,390,495
492,494,494,431,492
493,491,492,489,490
491,494,493,552,490
487,492,495,619,490
490,493,494,633,489
494,492,494,623,491
495,492,494,563,492
493,494,494,464,492
494,494,494,406,493
491,493,492,374,493
485,494,493,372,491
485,491,494,381,492
488,492,491,402,489
490,492,493,458,491
488,492,493,514,490
492,493,493,589,490
500,494,494,633,491
496,493,495,627,489
488,491,494,609,490
483,494,495,519,493
485,492,495,430,492
491,491,494,392,493
490,491,494,376,494
498,492,493,377,493
498,494,493,387,492
494,493,492,425,489
495,492,493,481,489
491,494,493,545,491
487,492,493,616,490
490,494,492,632,490
494,493,492,626,491
489,492,495,574,490
495,493,494,476,490
506,492,494,412,490
501,490,493,376,491
493,493,494,374,489
484,490,496,381,491
479,490,492,399,492
